id,question,question_type,gold_event_ids,source_event_id,notes
1,拉萨师范学院2024级音乐专业学生表演了哪些节目,specific,,92,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
2,中巴书画艺术展上哪幅书法作品吸引了众多巴西民众驻足欣赏,specific,,104,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
3,请预测下个月股市走势,refusal,,,gold_event_ids 留空，表示应拒答
4,北京大学计算机系某教授的联系方式是什么？,refusal,,,gold_event_ids 留空，表示应拒答
5,最近一周有哪些重要政治新闻？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
6,最近关于科技领域的新闻有哪些？,broad,33,,请人工标出所有相关事件 ID，用逗号分隔
7,最近关于外交活动的报道有哪些？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
8,全国人大常委会启动节约能源法执法检查，主要检查哪些方面的内容,specific,,10,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
9,太阳系外宜居星球有哪些？,refusal,,,gold_event_ids 留空，表示应拒答
10,今天北京天气怎么样？,refusal,,,gold_event_ids 留空，表示应拒答
11,最近有哪些涉及民生的事件？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
12,银川市新推出的线上“办不成事”反映窗口在业务办理时间上缩短了多少,specific,,74,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
13,2020 年美国总统大选结果如何？,refusal,,,gold_event_ids 留空，表示应拒答
14,近期有哪些关于乡村振兴的报道？,broad,3,,请人工标出所有相关事件 ID，用逗号分隔
15,最近发生了哪些社会热点事件？,broad,"74,22,24,73,86,89,90,93,94,100",,请人工标出所有相关事件 ID，用逗号分隔
16,近期有哪些关于文旅活动的事件？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
17,习近平会见白俄罗斯总统卢卡申科时，双方如何形容两国关系,specific,,28,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
18,最近关于科技领域的新闻有哪些？,broad,33,,请人工标出所有相关事件 ID，用逗号分隔
19,上海“阿大葱油饼”老店新开后遇到了什么问题，又是如何解决的,specific,,22,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
20,某品牌手机的内部参数是什么？,refusal,,,gold_event_ids 留空，表示应拒答
21,明天的彩票开奖号码是多少？,refusal,,,gold_event_ids 留空，表示应拒答
22,最近关于国际会议的报道有哪些？,broad,"97,99,15",,请人工标出所有相关事件 ID，用逗号分隔
23,最近有哪些文化活动报道？,broad,"88,91,92,104,105,106,110,113,16,31",,请人工标出所有相关事件 ID，用逗号分隔
24,银发旅游有哪些具体的适老化服务措施,specific,,24,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
25,如何学习 Python 编程？,refusal,,,gold_event_ids 留空，表示应拒答
26,如何制作蛋糕？,refusal,,,gold_event_ids 留空，表示应拒答
27,最近有哪些关于科技创新的新闻？,broad,33,,请人工标出所有相关事件 ID，用逗号分隔
28,最近体育方面有什么重要新闻？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
29,近期有哪些经济政策发布？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
30,某明星的私人生活细节有哪些？,refusal,,,gold_event_ids 留空，表示应拒答
31,银川市新推出的线上“办不成事”反映窗口在业务办理时间上缩短了多少,specific,,74,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
32,北京大学计算机系某教授的联系方式是什么？,refusal,,,gold_event_ids 留空，表示应拒答
33,中巴书画艺术展上哪幅书法作品吸引了众多巴西民众驻足欣赏,specific,,104,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
34,最近有哪些关于志愿服务的新闻？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
35,太阳系外宜居星球有哪些？,refusal,,,gold_event_ids 留空，表示应拒答
36,丁薛祥在会见上合组织财长和央行行长会议外方代表时，提出了哪些财金合作的具体措施,specific,,55,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
37,最近关于外交活动的报道有哪些？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
38,最近有哪些涉及民生的事件？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
39,最近有哪些关于教育改革的新闻？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
40,泰兴市税务局是如何帮助在湖北的个体工商户王先生完成清税注销的,specific,,72,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
41,最近有哪些关于安全生产的事件？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
42,明天的彩票开奖号码是多少？,refusal,,,gold_event_ids 留空，表示应拒答
43,今天北京天气怎么样？,refusal,,,gold_event_ids 留空，表示应拒答
44,最近有哪些关于科技创新的新闻？,broad,33,,请人工标出所有相关事件 ID，用逗号分隔
45,近期有哪些关于环境保护的报道？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
46,习近平主席在祝贺李在明当选韩国总统时，提到了中韩关系如何发展,specific,,29,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
47,拉萨师范学院2024级音乐专业学生表演了哪些节目,specific,,92,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
48,如何学习 Python 编程？,refusal,,,gold_event_ids 留空，表示应拒答
49,某明星的私人生活细节有哪些？,refusal,,,gold_event_ids 留空，表示应拒答
50,近期有哪些关于食品安全的新闻？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
