idx,report_id_a,report_id_b,cosine_sim,summary_a,summary_b,label
1,32,41,0.8097,司法部与国家档案局联合发布新修订的《公证档案管理办法》，自2025年6月20日施行。办法推进公证电子档案信息化，明确电子档案与传统档案效力等同，缩短保管期限为永久、30年、10年，并规范档案销毁条件。,沈阳推出“公民信息连锁变更一件事”，2024年10月17日上线。居民申请变更姓名等基本信息时，可线下派出所或线上政务服务网一次提交。审批后公安内部跨层级联动，外部与社保、医保、公积金等部门协作，同步更新证件和账户，证照邮寄到家。已办理160余件，减少群众跑动12次。,
2,35,38,0.8311,山东水利技师学院等场景展示新能源汽车发展。长安汽车数智工厂每60秒下线一辆车。人大代表建议推动充电桩建设，截至2024年底全国充电桩达1281.8万台。维修难问题通过职业培训等解决。辅助驾驶技术发展，道路交通安全法修订被列入审议议程。,滨州市人大针对农田灌溉难问题，监督水务部门采取多水源供水、灌区节水改造等措施。通过调研提出建议，实行副市长领办、人大督办等机制。水务部门建设灌溉一张图，改造10处灌区、整治300公里渠道，改善172万亩灌溉面积，并建成智慧中枢实现精细化管控。,
3,62,72,0.9992,国务院总理李强签署《政务数据共享条例》，2025年8月1日施行。条例共8章44条，旨在推动政务数据安全高效共享，提升数字政府治理能力。内容包括统一目录管理、禁止重复收集数据、整合全国一体化政务大数据体系、明确安全责任与经费保障等。,国务院总理李强签署《政务数据共享条例》，2025年8月1日施行。条例共8章44条，旨在推进政务数据安全高效共享，提升数字政府治理能力。内容包括统一目录管理、禁止重复收集数据、整合全国一体化政务大数据体系，并明确安全责任与经费保障。,
4,24,36,0.7976,海关与地方政府合作，通过简化流程、提高效率、降低成本等措施优化口岸营商环境，降低企业运营成本、加快货物流转。优化是持续过程，需提升政策质量以推动高效、透明、公平、便利的口岸环境，助力贸易强国建设。,《民营经济促进法》颁布，回应民企多年期盼。该法明确民营经济法律地位与支持措施，优化发展环境。作者作为全国人大代表参与立法过程，见证立法机关听取民企意见。法律增强民企信心，企业将依法经营，加大创新，履行社会责任。,
5,54,85,0.8336,南通市在贯彻中央八项规定精神学习教育中，针对社区治理问题，建立“社区合伙人”机制，整合五类力量形成闭环治理。通过党员干部下沉、清单化管理，已解决电梯改造等2600余件民生实事，联系服务群众12万余次。,银川市2023年设立“办不成事”反映窗口，整合资源、制度赋权、数据反哺，解决群众办事堵点。该窗口通过闭环机制协调跨部门难题，诉求量从月均30件降至8件以内，推动政务服务改革，计划覆盖至乡镇社区。,
6,16,77,0.8294,中国通过南南合作与42国签署气候备忘录，为80多国提供生物多样性支持，并与170多个伙伴共建绿色发展联盟。中巴美丽山输电项目恢复森林200公顷，重现野生动物。习近平在多边场合倡导生态文明，中国积极参与全球环境治理，推动可持续发展。,生态环境部等四部门联合发布指导意见，要求加强生态文化建设，构建以生态价值观念为核心的体系。任务包括研究传承、传播推广和转化利用，具体有10项举措，如理论研究、文艺创作、绿色生活等。强调党的领导，多部门合作，并推动试点和案例宣传。,
7,112,114,0.7656,7月5日晚，2026年福建闽超首场两岸友谊赛在厦门举行，厦门队与金门队对决，超过2万名观众观赛，最终厦门队5比2获胜。,7月5日21时43分，长征八号甲火箭在海南商业航天发射场成功将千帆极轨15组卫星送入预定轨道。,
8,60,69,0.9853,李强会见日本贸促会会长河野洋平，表示中日应落实“互为合作伙伴、不构成威胁”共识，深化产业、科技、数字经济等领域合作，管控分歧。河野洋平称中国是重要经贸伙伴，愿加强沟通，维护多边主义。,李强会见日本贸促会访华团，表示中日应落实“互为合作伙伴、不构成威胁”共识，加强产业对接与新兴领域合作，管控分歧。河野洋平称中国是日本最重要经贸伙伴，愿扩大交流，维护多边主义。,
9,47,58,0.8177,习近平在河南龙门石窟考察时，忆起40多年前在正定工作期间，发现龙藏寺碑风化严重，要求保护。该碑后被确认为重要书法文物。他多次强调文化遗产保护，指出中华优秀传统文化是民族的根和魂，并鼓励青少年寻溯中华文化、树立文化自信。,反腐需法纪与文化并重。习近平在浙江工作时强调廉政文化须主动占领阵地，推动制度建设、惩戒警示与素质教育。他常以“三笔账”和古训故事倡导廉洁，并建教育基地。新时代一体推进不敢腐、不能腐、不想腐，当前学习教育需协同党性党风党纪，联动家教家风，创新形式让崇廉拒腐成社会风尚。,
10,34,51,0.811,河北县域特色产业通过创新驱动和绿色转型实现升级。平乡县自行车产业依托研究院和共享平台降低成本；宽城通过皮带廊密闭运输减少排放；武安钢铁企业环保改造后效益提升。2024年，107个重点产业集群营收3.6万亿元，同比增长9.3%，带动大量就业。,国家政务服务平台上线六周年，推动“高效办成一件事”改革。多地通过数字赋能、集成服务，实现线下“只进一门”、线上“一网通办”、诉求“一线应答”。黑龙江将办理时限从30天压减至即办，河南安阳精简材料30余项。改革聚焦提升效能、强化数字应用，解决办事难、慢、繁问题。,
11,22,34,0.815,2025北京入境旅游发展大会近日举办，发布优化入境服务方案，推出十大主题线路。方案含22项举措，涉及产品、服务等，提升中轴影响力、简化通关退税。今年前4月入境游客146万人次，同比增57.1%。,河北县域特色产业通过创新驱动和绿色转型实现升级。平乡县自行车产业依托研究院和共享平台降低成本；宽城通过皮带廊密闭运输减少排放；武安钢铁企业环保改造后效益提升。2024年，107个重点产业集群营收3.6万亿元，同比增长9.3%，带动大量就业。,
12,122,123,0.919,芬兰总统斯图布于7月5日在图尔库会见了到访的中共中央政治局委员、外交部长王毅。,中共中央政治局委员、外交部长王毅于7月5日在赫尔辛基与芬兰外长瓦尔托宁进行了会谈。,
13,30,66,0.8708,习近平6月4日在中南海会见白俄罗斯总统卢卡申科，祝贺其连任。双方强调真诚互信，推动合作发展，加强多边协调，反对霸权。卢卡申科第15次访华，感谢中方支持，愿共同维护国际公平正义。王毅参加会见。,王毅会见美国新任驻华大使庞德伟，希望其发挥沟通、调解、促进作用。王毅指出中美关系处于关键节点，平等尊重和对话合作是正确选择，批评美方近期采取消极举措损害中方权益，要求美方落实元首共识。庞德伟表示愿与中方密切沟通。,
14,32,71,0.8033,司法部与国家档案局联合发布新修订的《公证档案管理办法》，自2025年6月20日施行。办法推进公证电子档案信息化，明确电子档案与传统档案效力等同，缩短保管期限为永久、30年、10年，并规范档案销毁条件。,中国发布政务数据共享条例，规定政府部门间数据共享需遵循安全、依法原则，按无条件、有条件、不予共享三类管理。数据目录动态更新，共享申请审核时限为1至10个工作日。条例明确安全责任、争议解决机制，禁止擅自扩大使用范围，违规将受处分。2025年8月1日起施行。,
