id,question,question_type,gold_event_ids,source_event_id,notes
1,银发旅游有哪些具体的适老化服务和产品,specific,,24,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
2,如何制作蛋糕？,refusal,,,gold_event_ids 留空，表示应拒答
3,丁薛祥在会见上合组织财长和央行行长会议外方代表时提出了哪些具体的财金合作举措,specific,,55,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
4,习近平在“听习近平讲作风故事”系列中，第七期讲了哪两位领导人的文风故事,specific,,43,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
5,最近一周有哪些重要政治新闻？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
6,习近平主席祝贺李在明当选韩国总统时，提到了中韩关系哪些方面的成果和未来方向,specific,,29,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
7,习近平在哪些地方任职期间将生态环境工作列为重点,specific,,37,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
8,中央军委新发布的《军事设施建设条例》将从什么时候开始施行,specific,,7,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
9,银川市新推出的线上“办不成事”反映窗口，在政务服务效率提升方面取得了哪些具体成效,specific,,74,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
10,陈慧在江苏书展新华书房分享会上，为什么说自己的写作获得喜爱并非仅靠个人努力,specific,,105,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
11,旅居巴西三十多年的华人中医针灸医师宋南华在什么活动中获得了“佩德罗二世奖章”,specific,,113,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
12,上海“阿大葱油饼”老店新开后遇到了什么问题，街道是如何在一周内完成整改的,specific,,22,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
13,台风美莎克对广西的降雨影响会持续到什么时候,specific,,86,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
14,某明星的私人生活细节有哪些？,refusal,,,gold_event_ids 留空，表示应拒答
15,明天的彩票开奖号码是多少？,refusal,,,gold_event_ids 留空，表示应拒答
16,沈阳推出的“1张信用报告替代10个公章”举措对企业办理业务有什么好处,specific,,49,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
17,最近发生了哪些社会热点事件？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
18,西藏自治区人大常委会邀请基层群众旁听会议，主要讨论了哪些议题,specific,,35,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
19,最近关于国际会议的报道有哪些？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
20,近期有哪些经济政策发布？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
21,最近关于科技领域的新闻有哪些？,broad,,,请人工标出所有相关事件 ID，用逗号分隔
22,北京大学计算机系某教授的联系方式是什么？,refusal,,,gold_event_ids 留空，表示应拒答
23,2020 年美国总统大选结果如何？,refusal,,,gold_event_ids 留空，表示应拒答
24,习近平总书记强调守护文化根脉，本期“学习新语”栏目聚焦了哪个地方来探索中华文明基因,specific,,65,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
25,习近平总书记如何强调马克思主义与中华优秀传统文化结合的重要性,specific,,64,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
26,习近平与白俄罗斯总统卢卡申科在北京会面时，双方如何形容彼此的关系,specific,,28,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
27,安徽六安金安区两名社区干部因擅自调整社保缴费基数受到了什么处分,specific,,81,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
28,李强总理签署的《政务数据共享条例》从什么时候开始施行,specific,,51,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
29,泰兴市税务局是如何帮助在湖北阳新县有营业执照的王先生完成清税注销的,specific,,72,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
30,四部门联合印发的意见中，推进生态文化体系建设主要从哪三个方面入手,specific,,67,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
31,济南市天桥区无影山中路社区为老年人建成的食堂叫什么名字,specific,,73,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
32,2026年第四次全国农业普查的标准时点是什么时候,specific,,6,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
33,上海洋山港进口秘鲁牛油果的快速通关得益于哪条新航线,specific,,26,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
34,习近平总书记在世界环境日对生态文明建设提出了哪些具体要求,specific,,1,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
35,“海内存知己，天涯若比邻”这幅书法作品在巴西里约热内卢的哪个展览中展出,specific,,104,请人工确认 gold_event_ids，可填 1 个或多个事件 ID
